eventnum,name,Film,award,date_of_award,years,days,age_at_award
20,Loretta Young,The Farmer's Daughter,best actress,20-Mar-48,35,74,35.2
21,Jane Wyman,Johnny Belinda,best actress,24-Mar-49,32,78,32.21
22,Olivia de Havilland,The Heiress,best actress,23-Mar-50,33,265,33.72
23,Judy Holliday,Born Yesterday,best actress,29-Mar-51,29,281,29.77
24,Vivien Leigh,A Streetcar Named Desire,best actress,20-Mar-52,38,136,38.37
25,Shirley Booth,"Come Back, Little Sheba",best actress,19-Mar-53,54,201,54.55
26,Audrey Hepburn,Roman Holiday,best actress,25-Mar-54,24,325,24.89
27,Grace Kelly,The Country Girl,best actress,30-Mar-55,25,138,25.38
28,Anna Magnani,The Rose Tattoo,best actress,21-Mar-56,48,14,48.04
29,Ingrid Bergman,Anastasia,best actress,27-Mar-57,41,210,41.57
30,Joanne Woodward,The Three Faces of Eve,best actress,26-Mar-58,28,27,28.07
31,Susan Hayward,I Want to Live!,best actress,6-Apr-59,41,280,41.77
32,Simone Signoret,Room at the Top,best actress,4-Apr-60,39,10,39.03
33,Elizabeth Taylor,BUtterfield 8,best actress,17-Apr-61,29,49,29.13
34,Sophia Loren,Two Women,best actress,9-Apr-62,27,201,27.55
35,Anne Bancroft,The Miracle Worker,best actress,8-Apr-63,31,203,31.55
36,Patricia Neal,Hud,best actress,13-Apr-64,38,84,38.23
37,Julie Andrews,Mary Poppins,best actress,5-Apr-65,29,186,29.51
38,Julie Christie,Darling,best actress,18-Apr-66,26,4,26.01
39,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,best actress,10-Apr-67,35,42,35.11
40,Katharine Hepburn,Guess Who's Coming to Dinner,best actress,10-Apr-68,60,334,60.91
41,Katharine Hepburn,The Lion in Winter,best actress,14-Apr-69,61,337,61.92
42,Barbra Streisand,Funny Girl,best actress,14-Apr-69,26,355,26.97
43,Maggie Smith,The Prime of Miss Jean Brodie,best actress,7-Apr-70,35,100,35.27
44,Glenda Jackson,Women in Love,best actress,15-Apr-71,34,341,34.93
45,Jane Fonda,Klute,best actress,10-Apr-72,34,111,34.3
46,Liza Minnelli,Cabaret,best actress,27-Mar-73,27,15,27.04
47,Glenda Jackson,A Touch of Class,best actress,2-Apr-74,37,328,37.9
48,Ellen Burstyn,Alice Doesn't Live Here Anymore,best actress,8-Apr-75,42,122,42.33
49,Louise Fletcher,One Flew Over the Cuckoo's Nest,best actress,29-Mar-76,41,251,41.69
50,Faye Dunaway,Network,best actress,28-Mar-77,36,73,36.2
51,Diane Keaton,Annie Hall,best actress,3-Apr-78,32,88,32.24
52,Jane Fonda,Coming Home,best actress,9-Apr-79,41,109,41.3
53,Sally Field,Norma Rae,best actress,14-Apr-80,33,160,33.44
54,Sissy Spacek,Coal Miner's Daughter,best actress,31-Mar-81,31,96,31.26
55,Katharine Hepburn,On Golden Pond,best actress,29-Mar-82,74,321,74.88
56,Meryl Streep,Sophie's Choice,best actress,11-Apr-83,33,293,33.8
57,Shirley MacLaine,Terms of Endearment,best actress,9-Apr-84,49,351,49.96
58,Sally Field,Places in the Heart,best actress,25-Mar-85,38,139,38.38
59,Geraldine Page,The Trip to Bountiful,best actress,24-Mar-86,61,122,61.33
60,Marlee Matlin,Children of a Lesser God,best actress,30-Mar-87,21,218,21.6
61,Cher,Moonstruck,best actress,11-Apr-88,41,327,41.89
62,Jodie Foster,The Accused,best actress,27-Mar-89,26,128,26.35
63,Jessica Tandy,Driving Miss Daisy,best actress,26-Mar-90,80,292,80.8
64,Kathy Bates,Misery,best actress,25-Mar-91,42,270,42.74
