city,pop_year,population,lead_digit
Lexington town,2023,226,2
Waterloo town,2023,223,2
Parkdale,2022,213,2
Wedderburn,2022,213,2
Sumpter,2023,209,2
Beaver,2022,206,2
Fair Oaks,2022,204,2
Cape Meares,2022,199,1
Helix,2023,190,1
Detroit,2023,188,1
Elkton,2023,187,1
Barnesdale,2022,185,1
Harper,2022,184,1
Pronghorn,2022,183,1
Neskowin,2022,177,1
Summit,2022,177,1
Long Creek,2023,171,1
Richland,2023,170,1
Cloverdale,2022,168,1
Shedd,2022,168,1
Ukiah,2023,168,1
Idaville,2022,167,1
Seneca,2023,164,1
Days Creek,2022,163,1
Grass Valley,2023,161,1
Crane,2022,160,1
Idanha,2023,156,1
Adrian,2023,155,1
Kings Valley,2022,147,1
Rhododendron,2022,147,1
Alsea,2022,139,1
Jordan Valley,2023,138,1
Spray town,2023,138,1
Barlow,2023,137,1
Mitchell,2023,137,1
Dayville town,2023,132,1
Meacham,2022,132,1
Black Butte Ranch,2022,126,1
Bly,2022,126,1
Rowena,2022,121,1
Jeffers Gardens,2022,117,1
Summerville town,2023,117,1
Beaver Marsh,2022,116,1
Monument,2023,116,1
Cascadia,2022,115,1
Fort Klamath,2022,104,1
Government Camp,2022,101,1
Chemult,2022,96,9
Wallowa Lake,2022,96,9
Pine Grove,2022,92,9
McKay,2022,89,8
Prescott,2023,80,8
Plush,2022,67,6
Sportsmans Park,2022,67,6
Fort Hill,2022,65,6
Cayuse,2022,58,5
Tygh Valley,2022,54,5
Wamic,2022,52,5
Bellfountain,2022,43,4
Unity,2023,43,4
Antelope,2023,39,3
West Scio,2022,35,3
Peoria,2022,32,3
Shaniko,2023,31,3
Granite,2023,30,3
Lonerock,2023,23,2
Juntura,2022,21,2
Beatty,2022,18,1
Brogan,2022,16,1
Crescent Lake,2022,14,1
Biggs Junction,2022,0,0
Blodgett,2022,0,0
Eola,2022,0,0
Greenhorn,2022,0,0
Pistol River,2022,0,0
Rickreall,2022,0,0
Sprague River,2022,0,0
