Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,RE24,NameASCII,PlayerId,MLBAMID
"Josh Lindblom","MIL",8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26641571962216115,0.12093835324048996,-0.011226073177361105,-0.1680000126361847,"Josh Lindblom",7882,458676
"Michael Rucker","CHC",20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26494916223862386,0.12093835324048996,-0.011079013682312299,-0.1680000126361847,"Michael Rucker",19454,621074
"Ryan Feltner","COL",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.28453658216574407,0.12093835324048996,-0.0130431482713343,-0.1680000126361847,"Ryan Feltner",21446,663372
"Tanner Houck","BOS",18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26885327392199254,0.12093835324048996,-0.01139489082915171,-0.17000000178813934,"Tanner Houck",19879,656557
"José Suarez","LAA",23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26377597146609044,0.12093835324048996,-0.01088576275563979,-0.17000000178813934,"Jose Suarez",19911,660761
"Ryan LaMarre","NYY",9,24,2,3,4,1,0.083333333,0.25,0.285714286,0.153846153,0.19047619,0.291666666,0.476190476,0.3281880592306455,0.255,110.20887918107309,0.1728782483842224,0.47285760025829954,-0.5895993411540985,0.07078945158942984,-0.17499977350234985,"Ryan LaMarre",10700,534606
"Jake Hager","- - -",14,30,0,2,2,0,0.133333333,0.466666666,0,0.25,0.115384615,0.233333333,0.115384615,0.18013440569241843,0.232,9.033715608002984,-0.09813403221778572,-3.572287143206502,-0.6622174233198166,-0.32376481317633654,-0.18000014126300812,"Jake Hager",12198,606993
"Mark Melancon","SDP",64,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.2597134231863282,0.12093835324048996,-0.010553998330113272,-0.18599998950958252,"Mark Melancon",4264,453343
"Ramón Rosso","PHI",7,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.1910000443458557,"Ramon Rosso",20368,665759
"Tommy Nance","CHC",27,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.074,-100,0,-0.5298983244772477,0.24187670648097992,-0.022158027364624598,-0.19699999690055847,"Tommy Nance",19178,667297
"Nick Tropeano","- - -",5,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.2605262070236466,0.12093835324048996,-0.010635500480688235,-0.20499999821186066,"Nick Tropeano",12385,607374
"Anthony Bender","MIA",61,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.217,-100,0,-0.533379652964644,0.24187670648097992,-0.022507118655018345,-0.20600000023841858,"Anthony Bender",19742,669622
"Zack Godley","MIL",2,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.26641571962216115,0.12093835324048996,-0.011226073177361105,-0.210999995470047,"Zack Godley",14862,643327
"Edgar Santana","ATL",41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26787378334381795,0.12093835324048996,-0.011372280967838863,-0.21199999749660492,"Edgar Santana",17355,650828
"Adrian Morejon","SDP",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.223,-100,0,-0.2597134231863282,0.12093835324048996,-0.010553998330113272,-0.2160000056028366,"Adrian Morejon",20039,670970
"Richard Bleier","MIA",68,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.266689826482322,0.12093835324048996,-0.011253559327509172,-0.2160000205039978,"Richard Bleier",7803,542947
"Tyler Ladendorf","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.076,-100,0,-0.26494916223862386,0,-0.023206144443935334,-0.2199999988079071,"Tyler Ladendorf",3211,502285
"Josh Sborz","TEX",63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2618125199613831,0.12093835324048996,-0.010688877048966223,-0.2199999988079071,"Josh Sborz",18323,622250
"John King","TEX",27,1,0,0,0,0,0,0,0,0,0,0,0,0,0.247,-100,0,-0.2618125199613831,0.12093835324048996,-0.010688877048966223,-0.2199999988079071,"John King",22051,667463
"Kyle McGowin","WSN",27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26661095463612294,0.12093835324048996,-0.011245650428746805,-0.22299998998641968,"Kyle McGowin",15071,641851
"Pedro Avila","SDP",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2597134231863282,0.12093835324048996,-0.010553998330113272,-0.22500000894069672,"Pedro Avila",18864,658648
"Jake Odorizzi","HOU",24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.231,-100,0,-0.2604752674041054,0.12093835324048996,-0.010554783635347693,-0.22600001096725464,"Jake Odorizzi",6397,543606
"Tyler Webb","STL",22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26325982504465795,0.12093835324048996,-0.010909614872896073,-0.22600001096725464,"Tyler Webb",14974,643778
"Wilfredo Tovar","NYM",6,12,0,0,1,0,0.083333333,0.333333333,0,0.285714285,0.181818181,0.25,0.181818181,0.20415226618448892,0.241,28.035258881667463,-0.010267563862726092,-1.109648640747728,0.3819497488439083,-0.032629654803396434,-0.2270001322031021,"Wilfredo Tovar",10416,541600
"Tyler Zuber","KCR",31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2664705931482575,0.12093835324048996,-0.011155966777913546,-0.23000000417232513,"Tyler Zuber",20379,676604
"Matthew Boyd","DET",15,5,0,0,0,0,0.2,0.2,0,0.5,0.333333333,0.5,0.333333333,0.392692968249321,0.61,151.51216078361173,-0.006845042575150728,0.30849696533575127,0.604691743850708,0.1087568980083726,-0.23199999332427979,"Matthew Boyd",15440,571510
"Matt Manning","DET",18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26183716648199773,0.12093835324048996,-0.010691348486440804,-0.23499999940395355,"Matt Manning",20369,666159
"Josh Harrison","- - -",138,558,8,58,60,9,0.055555555,0.134408602,0.12079208,0.312941176,0.27920792,0.341113105,0.4,0.3245024422126784,0.333,104.21046316325989,-2.298575785709545,0.8861906311896206,3.4737741947174072,2.328079794121799,-0.23630046844482422,"Josh Harrison",8202,543281
"Adonis Medina","PHI",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.23800000548362732,"Adonis Medina",19903,658431
"Dan Winkler","CHC",47,1,0,0,0,0,0,0,0,0,0,0,0,0,0.281,-100,0,-0.26494916223862386,0.12093835324048996,-0.011079013682312299,-0.24299998581409454,"Dan Winkler",12237,595465
"Tyler Glasnow","TBR",14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.5120855061884446,0.24187670648097992,-0.020220623785053127,-0.24300000071525574,"Tyler Glasnow",14374,607192
"Drew Rasmussen","- - -",35,4,0,0,0,0,0,0.25,0,0.333333333,0.25,0.25,0.25,0.2197638303041458,0.272,41.66548458217768,-0.003422521287575364,-0.3106553650503587,0.48375340551137924,0.03103114495638412,-0.24399997293949127,"Drew Rasmussen",25385,656876
"Michael Kopech","CHW",44,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-100,0,-0.26268241994955754,0.12093835324048996,-0.010776106539226837,-0.24399998784065247,"Michael Kopech",17282,656629
"Alec Bettinger","MIL",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26641571962216115,0.12093835324048996,-0.011226073177361105,-0.24500000476837158,"Alec Bettinger",20312,676424
"Chris Sale","BOS",9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26885327392199254,0.12093835324048996,-0.01139489082915171,-0.2459999918937683,"Chris Sale",10603,519242
