Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
Jordyn Adams,R,LAA,24,11,38,35,8,0,0,1,4,4,12,3,2,0,1,0,0,0,3.374,98,0.229,0.289,0.314,0.603,0.271,0.072
Andres Chaparro,R,WSN,25,33,132,121,26,12,0,4,12,15,24,7,1,1,3,4,0,0,13.345,3,0.215,0.28,0.413,0.693,0.301,0.0671
Brooks Baldwin,B,CHW,23,33,121,114,24,6,0,2,9,8,31,6,4,0,1,0,1,0,9.625,46,0.211,0.25,0.316,0.566,0.249,0.0619
Jahmai Jones,R,NYY,26,33,47,42,10,1,1,1,8,4,16,2,1,1,0,2,1,0,5.001,749,0.238,0.304,0.381,0.685,0.302,0.0613
Oswald Peraza,R,NYY,24,4,11,10,2,0,0,1,2,1,3,1,0,0,0,0,0,0,1.435,5,0.2,0.273,0.5,0.773,0.329,0.0581
Dominic Canzone,L,SEA,26,67,188,168,33,7,0,8,20,17,53,18,1,0,5,0,0,2,17.059,97,0.196,0.271,0.381,0.652,0.28,0.0567
Charlie Blackmon,L,COL,37,124,499,449,115,24,5,12,59,52,86,43,6,2,4,6,0,1,63.599,9,0.256,0.329,0.412,0.741,0.323,0.0553
Leonardo Rivas,B,SEA,26,43,86,73,17,1,1,0,10,8,24,10,3,0,1,1,2,0,7.993,64,0.233,0.333,0.274,0.607,0.282,0.0523
Jacob Wilson,R,OAK,22,28,103,92,23,2,2,0,11,3,10,8,0,0,4,1,1,1,8.802,6,0.25,0.314,0.315,0.629,0.281,0.0521
Charles Leblanc,R,LAA,28,11,28,21,4,0,0,2,6,6,9,7,0,0,0,0,0,0,4.644,543,0.19,0.393,0.476,0.869,0.382,0.0494
Jake Bauers,L,MIL,28,116,346,302,60,9,2,12,45,43,118,39,13,1,0,5,0,0,37.788,379,0.199,0.301,0.361,0.662,0.294,0.0476
Ildemaro Vargas,B,WSN,32,95,303,272,67,16,0,1,21,30,31,19,9,4,9,2,5,5,25.084,5476,0.246,0.295,0.316,0.611,0.271,0.0447
Samad Taylor,R,SEA,25,3,5,5,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0.8,7,0.4,0.4,0.4,0.8,0.353,0.0395
Brandon Lockridge,R,SDP,27,12,12,12,2,0,0,1,4,1,4,0,2,0,0,0,0,0,1.007,987,0.167,0.167,0.417,0.584,0.244,0.0392
Cade Marlowe,L,SEA,27,8,9,8,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0.502,9,0.25,0.333,0.25,0.583,0.273,0.0371
Tyler Heineman,B,- - -,33,7,16,12,1,0,0,0,2,0,6,3,0,0,0,1,0,0,0.637,2,0.083,0.313,0.083,0.396,0.229,0.0304
Kyle Manzardo,L,CLE,23,53,156,145,34,12,0,5,11,15,41,9,0,0,3,1,0,1,16.852,3,0.234,0.282,0.421,0.703,0.303,0.0272
Logan Driscoll,L,TBR,26,15,37,35,6,0,0,1,2,5,6,1,0,0,0,0,0,1,1.85,2,0.171,0.189,0.257,0.446,0.193,0.0259
Edouard Julien,L,MIN,25,94,301,266,53,9,0,8,36,21,102,33,6,0,2,2,0,0,28.063,4,0.199,0.292,0.323,0.615,0.278,0.0226
Cristian Pache,R,- - -,25,88,183,165,33,8,1,1,13,16,64,17,1,0,2,0,0,1,13.498,87,0.2,0.273,0.279,0.552,0.25,0.0193
Blake Dunn,R,CIN,25,19,29,26,4,1,0,1,8,1,11,2,2,0,1,1,0,0,2.032,789,0.154,0.241,0.308,0.549,0.247,0.0116
Myles Straw,R,CLE,29,7,4,4,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0.51,8,0.25,0.25,0.25,0.5,0.22,0.0096
Eddy Alvarez,L,NYM,34,10,11,9,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0.026,4,0,0.182,0,0.182,0.128,0.0077
Eric Wagaman,R,LAA,26,18,74,72,18,5,0,2,6,10,17,2,0,0,1,0,0,0,7.579,5,0.25,0.27,0.403,0.673,0.29,0.0061
Sam Huff,R,TEX,26,3,4,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.065,2,0,0.25,0,0.25,0.172,-0.0005
Carlos Narvaez,R,NYY,25,6,15,13,3,0,0,0,0,0,6,2,0,0,0,0,0,0,1.173,2,0.231,0.333,0.231,0.564,0.268,-0.0029
Matt Thaiss,L,LAA,29,57,186,157,32,9,0,2,14,16,58,28,3,0,2,0,0,1,17.575,2,0.204,0.323,0.299,0.622,0.286,-0.0096
Jorge Barrosa,B,ARI,23,8,18,17,3,2,0,0,3,1,2,0,1,0,0,0,1,0,1.007,8,0.176,0.176,0.294,0.47,0.199,-0.0099
DaShawn Keirsey,L,MIN,27,6,14,13,2,0,0,1,1,1,1,0,0,0,0,1,0,0,1.127,8,0.154,0.214,0.385,0.599,0.261,-0.0106
Rene Pinto,R,TBR,27,19,49,42,9,3,0,2,5,6,18,4,0,0,0,1,1,1,5.811,2,0.214,0.292,0.429,0.721,0.31,-0.012
Jose Devers,L,MIA,24,3,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,,0.25,0.25,0.25,0.5,0.22,-0.0124
Oscar Colas,L,CHW,25,13,38,33,9,0,0,0,1,4,10,4,0,1,0,1,0,0,3.524,98,0.273,0.368,0.273,0.641,0.3,-0.0134
Avisail Garcia,R,MIA,33,18,51,50,12,1,0,2,4,2,13,1,0,0,4,0,0,0,3.399,9,0.24,0.255,0.38,0.635,0.274,-0.0134
Jhonny Pereda,R,MIA,28,20,40,39,9,0,0,0,2,4,10,0,0,0,2,1,0,0,1.852,2,0.231,0.25,0.231,0.481,0.216,-0.0167
Jackson Holliday,L,BAL,20,60,208,190,36,4,2,5,28,23,69,15,4,0,1,2,0,1,16.505,46,0.189,0.255,0.311,0.566,0.251,-0.0186
Jose Tena,L,- - -,23,44,168,161,43,5,0,3,14,15,41,7,6,1,1,0,0,0,17.697,54,0.267,0.298,0.354,0.652,0.286,-0.0187
Ben Gamel,L,- - -,32,38,99,81,20,4,0,1,22,4,24,18,1,0,0,0,0,0,12.26,97,0.247,0.384,0.333,0.717,0.327,-0.0213
David Banuelos,R,BAL,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-0.0218
Chris Roller,R,MIL,27,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,-0.0222
J.P. Martinez,L,ATL,28,7,10,10,2,1,0,0,2,0,4,0,1,0,0,0,0,0,0.704,98,0.2,0.2,0.3,0.5,0.214,-0.023
Eric Yang,R,CIN,26,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,-0.0233
Drew Waters,B,KCR,25,7,19,16,3,1,0,0,2,1,6,2,0,0,0,1,0,0,1.509,97,0.188,0.316,0.25,0.566,0.269,-0.025
Zach DeLoach,L,CHW,25,22,75,67,14,5,0,1,10,5,21,8,0,1,0,0,0,0,6.742,978,0.209,0.293,0.328,0.621,0.279,-0.025
David Fletcher,R,ATL,30,5,9,8,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0.56,4,0.25,0.222,0.25,0.472,0.196,-0.0293
Seby Zavala,R,SEA,30,18,43,39,6,2,0,1,4,2,16,3,0,0,2,0,1,0,2.002,2,0.154,0.214,0.282,0.496,0.221,-0.033
Aaron Schunk,R,COL,26,39,98,94,22,3,0,2,14,7,31,4,0,1,0,0,0,0,8.107,456,0.234,0.265,0.33,0.595,0.257,-0.0365
Daniel Johnson,L,BAL,28,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-0.0381
Jakson Reetz,R,SFG,28,6,15,14,2,1,0,1,1,1,5,1,0,0,1,0,0,0,0.835,2,0.143,0.2,0.429,0.629,0.266,-0.0386
Santiago Espinal,R,CIN,29,118,391,357,88,12,0,9,32,45,54,24,11,1,7,2,4,4,38.87,54679,0.246,0.295,0.356,0.651,0.285,-0.044
Willie Calhoun,L,LAA,29,68,254,229,56,16,0,5,26,20,31,23,0,1,5,1,0,1,27.24,3,0.245,0.315,0.38,0.695,0.305,-0.0446
Billy McKinney,L,PIT,29,10,28,25,5,1,0,0,4,2,13,2,0,0,1,1,0,0,1.695,79,0.2,0.286,0.24,0.526,0.246,-0.0467
Angel Martinez,B,CLE,22,43,169,151,35,7,0,3,16,11,33,15,3,1,2,0,1,2,16.136,87954,0.232,0.298,0.338,0.636,0.282,-0.0486
Dillon Dingler,R,DET,25,27,87,84,14,5,2,1,2,11,30,3,0,0,2,0,0,0,4.617,2,0.167,0.195,0.31,0.505,0.217,-0.0528
Jacob Hurtubise,L,CIN,26,29,68,54,10,1,1,0,7,4,18,6,2,0,0,3,4,1,5.303,79,0.185,0.297,0.241,0.538,0.253,-0.0554
Jose Azocar,R,SDP,28,61,79,73,16,2,0,0,13,2,19,5,5,1,1,0,1,0,5.392,789,0.219,0.269,0.247,0.516,0.235,-0.0581
Gustavo Campero,B,LAA,26,13,48,46,11,0,1,1,6,6,8,0,3,0,0,2,0,0,4.897,9,0.239,0.271,0.348,0.619,0.271,-0.063
Nick Yorke,R,PIT,22,11,42,37,8,0,0,2,4,5,12,4,2,0,0,0,0,1,4.743,4957,0.216,0.286,0.378,0.664,0.289,-0.0636
Conner Capel,L,CIN,27,5,8,8,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0.63,,0.25,0.25,0.25,0.5,0.22,-0.0665
Jon Singleton,L,HOU,32,119,405,355,83,13,1,13,46,42,111,47,0,0,2,0,0,3,47.654,3,0.234,0.321,0.386,0.707,0.312,-0.0673
Orelvis Martinez,R,TOR,22,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333,,0.333,0.333,0.333,0.666,0.294,-0.0678
Yuli Gurriel,R,KCR,40,18,65,54,13,3,0,0,7,6,15,9,1,0,1,0,0,2,6.429,3,0.241,0.338,0.296,0.634,0.289,-0.0716
Bryce Johnson,B,SDP,28,47,73,63,13,2,0,0,9,4,12,7,1,1,1,0,3,0,4.66,987,0.206,0.286,0.238,0.524,0.243,-0.0723
